YEAR            MONTH        DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6314     -1.6689     88.0000     46.0000     20.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8128      0.1902
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.6689     92.0000     46.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.3290
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.6689     93.0000     46.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.3288
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6714     -1.6889     86.0000     47.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9477      0.1914
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6514     -1.6889     87.0000     47.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9477      0.1922
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6314     -1.6889     88.0000     47.0000     20.9531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9120      0.1983
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6114     -1.6889     89.0000     47.0000     21.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9824      0.3499
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.6889     90.0000     47.0000     21.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9824      0.3488
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.6889     91.0000     47.0000     20.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8446      0.3332
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.6889     92.0000     47.0000     20.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9164      0.3355
